#,Individual,Site,Location within site,Region,Latitude,Longitude,Archaeological culture,Archaeological subgroup,Regional period,Date,dategroup,Date BP,Dating lab ID,Morph. Sex,Morph. Age,Artefacts,Sample type,Raw reads,endoDNA %,5' C=>T %,MT cont.,Male X cont.,WG cov.,MT cov.,Y cov.,X cov.,Gen. sex,MT hg,Y hg,Autos. anal.,Analysis label
1,UKR008,Mamay-Gora,burial 26,Zaporizhzhia,47.432845,34.27259,Neolithic period,"steppe, Northern Black Sea region",Neolithic,7000-6000 BCE,neo,NA,NA,NA,NA,NA,Tooth,617924078,1.12977,38.92910765,0.08,NA,0.0872,20.7,0.0286,0.0465,XY,U4c2,R1b14-V88,+,UkrN_?
103,UKR147,Bochkove,burial 6,Kharkiv,50.314768,37.11063,Saltiv Culture,"forest-steppe, Siversky Donets basin, Bulgars (Proto-Bulgarians)",Early Middle Ages,683-883 cal CE,IAEM,1232±27,UBA-48174,NA,NA,NA,Tooth,25420646,28.3792,13.58624615,0.01,NA,0.152,35.1,0.045,0.0783,XY,D4,R1a1'3,+,UkrEMA_Saltiv_Bulgars_1
105,UKR012,Mamay-Gora,"mound 162, burial 13",Zaporizhzhia,47.432845,34.27259,Сuman Culture,"steppe, Northern Black Sea region",Middle Ages,800-1100 CE,LMEM,NA,NA,NA,NA,NA,Tooth,107231922,59.63593625,32.28,0.02,0.015089625,0.374,48.8,0.105,0.177,XY,J1b1b1,R1a1'2,+,UkrMA_Cuman
106,UKR027,Velyka Znamianka,"mound 18, burial 1",Zaporizhzhia,47.439358,34.335757,Сuman Culture,"steppe, Northern Black Sea region",Middle Ages,800-1100 CE,LMEM,NA,NA,NA,NA,NA,Tooth,73360671,43.95,15.58,0.02,0.011231,0.317,81.6,0.101,0.16,XY,H5a1,N3a2,+,UkrMA_Cuman
107,UKR056,Kumy,"mound 1, burial 1",Kharkiv,49.324996,35.370183,Cuman Culture,"forest-steppe, Siversky Donets basin",Middle Ages,991-1149 cal CE,LMEM,1010±25,UBA-48167,NA,NA,NA,Tooth,99509503,87.13,15.88,0.01,NA,0.832,87.2,0.00952,0.792,XX,B5b2a2,-,+,UkrMA_Cuman_2
109,UKR166,Zvenihorod,"burial in squares 12 and 13 К, depth 30 cm, cultural layer I-II pieces",Lviv,49.73363,24.247629,Slavs (border Volynyane - White Croats),NA,Middle Ages,1100-1300 CE,LMEM,NA,NA,NA,NA,NA,Tooth,561400130,30.39,10.69,0.02,NA,1.04,160,0.0111,1.02,XX,H1a,-,+,UkrMA_WhiteCroat_Slavs
110,UKR068,Donets hillfort,1132/IV-60 burial 1,Kharkiv,49.921928,36.192856,Golden Horde period,"forest-steppe, Siversky Donets basin, Slavs or nomads?",Middle Ages,1200-1400 CE,LMEM,NA,NA,NA,NA,NA,Bone,191935984,52.75,12.19,0.02,NA,0.784,126,0.00855,0.755,XX,U5b1e1a,-,+,UkrMA_GoldenHorde_Slav/Nom?
111,UKR069,Donets hillfort,1159/IV-60 burial №4,Kharkiv,49.921928,36.192856,Golden Horde period,"forest-steppe, Siversky Donets basin, Slavs or nomads?",Middle Ages,1200-1400 CE,LMEM,NA,NA,NA,NA,NA,Tooth,167906118,50.5,14.08,0.03,0.008232,0.531,137,0.15,0.254,XY,X2d1a,R1b11,+,UkrMA_GoldenHorde_Slav/Nom?
112,UKR070,Donets hillfort,"1150/IV-60, burial 2",Kharkiv,49.921928,36.192856,Golden Horde period,"forest-steppe, Siversky Donets basin, Slavs or nomads?",Middle Ages,1200-1400 CE,LMEM,NA,NA,NA,NA,NA,Tooth,23018553,3.88297,9.780226661,0.06,NA,0.0189,11.8,0.00569,0.0094,XY,U5a1a1a,?,+,UkrMA_GoldenHorde_Slav/Nom?
113,UKR063,Kumy,"mound 1, burial 3",Kharkiv,49.324996,35.370183,Golden Horde period,"forest-steppe, Siversky Donets basin, nomads",Middle Ages,1300-1400 CE,LMEM,NA,NA,NA,NA,NA,Bone,45036054,75.67,28.13,0.02,NA,0.285,41.1,0.00413,0.272,XX,U2e1b,-,+,UkrMA_GoldenHorde_Nom
114,UKR074,Ploske,Burial  № 9,Donetsk,48.940698,37.666706,Golden Horde period,"forest-steppe, Siversky Donets basin, nomads",Middle Ages,1200-1400 CE,LMEM,NA,NA,NA,NA,NA,Tooth,143089845,26.05030189,17.07,0.02,NA,0.333,71.8,0.00412,0.327,XX,A1a,-,+,UkrMA_GoldenHorde_Nom
116,UKR028,Mamay-Surka,burial 188,Zaporizhzhia,47.430345,34.280355,Рost-Cuman time,"steppe, Northern Black Sea region, Cuman?",Middle Ages,1300-1400 CE,LMEM,NA,NA,NA,NA,NA,Tooth,189903381,23.48150443,14.095,0.03,NA,0.394,134,0.00483,0.381,XX,J1c2e1,-,+,UkrMA_Post-Cuman_Cuman?
118,UKR016,Mamay-Gora,"object 242, burial 1",Zaporizhzhia,47.432845,34.27259,Nogai Culture,"steppe, Northern Black Sea region",Middle Ages,1400-1500 CE,LMEM,NA,NA,NA,NA,NA,Tooth,38588362,89.19,16.65,0.02,0.000757125,0.322,97,0.0973,0.162,XY,M7c1a1a1,R1b13-Y14051,+,UkrMA_Nogai_1
119,UKR017,Mamay-Gora,"object 266, burial 1",Zaporizhzhia,47.432845,34.27259,Nogai Culture,"steppe, Northern Black Sea region",Middle Ages,1400-1500 CE,LMEM,NA,NA,NA,NA,NA,Tooth,94571750,89.38,14.48,0.02,0.000992125,0.764,122,0.235,0.384,XY,C4a1a4a,C3h,+,UkrMA_Nogai_2
120,UKR018,Mamay-Gora,"object 206, burial 1",Zaporizhzhia,47.432845,34.27259,Nogai Culture,"steppe, Northern Black Sea region",Middle Ages,1400-1500 CE,LMEM,NA,NA,NA,NA,NA,Tooth,351229864,11.77760885,19.98,0.02,NA,0.26,44.6,0.00375,0.246,XX,B4d1'2'3,-,+,UkrMA_Nogai_3
121,UKR020,Mamay-Gora,"object 260, burial 1",Zaporizhzhia,47.432845,34.27259,Nogai Culture,"steppe, Northern Black Sea region",Middle Ages,1400-1500 CE,LMEM,NA,NA,NA,NA,NA,Tooth,59379904,83.89,14.88,0.01,0.0041855,0.607,58.2,0.186,0.309,XY,M7b1a1a1,J1b1-B245,+,UkrMA_Nogai_2
122,UKR021,Mamay-Gora,"object 268, burial 1",Zaporizhzhia,47.432845,34.27259,Nogai Culture,"steppe, Northern Black Sea region",Middle Ages,1400-1500 CE,LMEM,NA,NA,NA,NA,NA,Tooth,228094656,28.9314702,17.245,0.02,NA,0.633,73,0.00799,0.625,XX,C4a1a4a,-,+,UkrMA_Nogai_3
123,UKR022,Mamay-Gora,"object 194, burial 1",Zaporizhzhia,47.432845,34.27259,Nogai Culture,"steppe, Northern Black Sea region",Middle Ages,1400-1500 CE,LMEM,NA,NA,NA,NA,NA,Tooth,53952716,84.96,8.56,0.01,NA,0.387,54.7,0.00416,0.369,XX,U2e2a1a2,-,+,UkrMA_Nogai_2
124,UKR024,Mamay-Gora,"object 189, burial 1",Zaporizhzhia,47.432845,34.27259,Nogai Culture,"steppe, Northern Black Sea region",Middle Ages,1400-1500 CE,LMEM,NA,NA,NA,NA,NA,Tooth,51765815,89.96,15.78,0.02,0.0066555,0.523,113,0.163,0.267,XY,M65a+@16311,G2a1,+,UkrMA_Nogai_1
127,UKR164,Vypovziv,burial 12,Chernigiv,50.945951,30.8039,Ukrainian Cossack Culture,"lower Desna, left bank of Dniprо, Slavs",Early modern period,1600-1800 CE,LMEM,NA,NA,NA,NA,NA,Tooth,98008069,42.73,14.49,0.03,NA,0.444,477,0.00474,0.44,XX,H3a1,-,+,UkrMA_Cossack_Slavs
128,UKR165,Vypovziv,burial 13,Chernigiv,50.945951,30.8039,Ukrainian Cossack Culture,"lower Desna, left bank of Dniprо, Slavs",Early modern period,1600-1800 CE,LMEM,NA,NA,NA,NA,NA,Tooth,53971242,58.36,26.09,0.02,NA,0.272,45.2,0.00345,0.267,XX,U4a2b,-,+,UkrMA_Cossack_Slavs
